ytotcor;yoprcor;ytrabajocor;y2803;y0101;ytot;dau;qaut;dautr;qautr;edad;esc;nivel;cut_comuna;comuna;region
193917,0000;500000,0000;620000,0000;320000,0;600000;193917,0000;5,0000;3,000;4;2;32,6750112910507;11,64061315589990;comuna;2102;Mejillones;NA
230000,0000;600000,0000;600000,0000;150000,0;600000;230000,0000;6,0000;3,000;6;3;36,3892617449664;11,00000000000000;comuna;2103;Sierra Gorda;NA
193917,0000;500000,0000;500000,0000;350000,0;600000;193917,0000;5,0000;3,000;4;2;37,0969343696030;10,48068064303850;comuna;2104;Taltal;NA
200000,0000;600000,0000;608750,0000;200000,0;600000;170000,0000;5,0000;3,000;5;3;35,1675840256312;11,83721203957363;comuna;2201;Calama;NA
240000,0000;500000,0000;500000,0000;400000,0;500000;195000,0000;5,0000;3,000;4;2;34,2815408718092;11,48328805952518;comuna;2203;San Pedro de Atacama;NA
140000,0000;431586,0000;432363,0000;213000,0;600000;27736,0000;4,0000;2,000;3;2;38,3155904287285;10,71943905450687;comuna;2301;Tocopilla;NA
360000,0000;530000,0000;600000,0000;130000,0;550000;299000,0000;6,0000;3,000;6;3;37,0279447115384;11,87495327102802;comuna;2302;María Elena;NA
200000,0000;516000,0000;562500,0000;220000,0;600000;195000,0000;5,0000;3,000;5;3;35,3744654541702;11,86956108266282;comuna;3101;Copiapó;NA
269000,0000;467000,0000;500000,0000;265000,0;520000;260000,0000;5,0000;3,000;5;3;40,5144821311230;11,18698939153765;comuna;3102;Caldera;NA
177179,0000;500000,0000;501667,0000;220000,0;520000;127736,0000;4,0000;2,000;4;2;34,6999236800111;10,19695852534563;comuna;3103;Tierra Amarilla;NA
193917,0000;500000,0000;500000,0000;280000,0;560000;193917,0000;4,0000;2,000;4;2;39,0902984505001;11,01739634676719;comuna;3201;Chañaral;NA
203917,0000;600000,0000;600000,0000;265000,0;700000;200000,0000;5,0000;3,000;5;3;35,6144672392988;11,51074736936770;comuna;3202;Diego de Almagro;NA
198917,0000;450000,0000;499083,0000;200000,0;500000;197917,0000;4,0000;2,000;4;2;39,5619017676236;10,67932873682842;comuna;3301;Vallenar;NA
200000,0000;380000,0000;400000,0000;200000,0;400000;200000,0000;3,0000;2,000;3;2;47,6048163548168;8,84250703093613;comuna;3302;Alto del Carmen;NA
