cut_comuna;comuna;pobreza_p;pobreza_multi_p
9101;Temuco;0,09447431584363815;0,1420615716300231
9102;Carahue;0,17112844432250227;0,3519382275702583
9103;Cunco;0,17187759393503405;0,1537823031376238
9104;Curarrehue;0,14899859675979080;0,1954330909554790
9105;Freire;0,13734107675404175;0,2820593313451578
9106;Galvarino;0,10092908758834274;0,4238862860319225
9107;Gorbea;0,14102054340622930;0,1856858846918489
9108;Lautaro;0,06507477086348287;0,1937771345875543
9109;Loncoche;0,10596641369287906;0,1290569998385274
9110;Melipeuco;0,18378035232502776;0,1834629423900968
9111;Nueva Imperial;0,09780978979861826;0,2621784506835220
9112;Padre Las Casas;0,13328976293743688;0,1775533242231596
9113;Perquenco;0,12079889807162535;0,2084022038567493
9114;Pitrufquén;0,11968497974328877;0,2125629472568248
9115;Pucón;0,08240563862723141;0,1938936828930901
9116;Saavedra;0,29633417243549404;0,4796255506607929
9117;Teodoro Schmidt;0,21394139287073449;0,2351896486109349
9118;Toltén;0,26862980769230771;0,2725360576923077
9119;Vilcún;0,09585824750336537;0,2236483736655918
9120;Villarrica;0,06802449414270501;0,1534378328008520
9121;Cholchol;0,24756817094562270;0,4018497847233296
9201;Angol;0,08781669348137409;0,2382030020685632
9202;Collipulli;0,11267978803936411;0,1808478425435276
9203;Curacautín;0,07108354374794160;0,1518278625535185
9204;Ercilla;0,21256382852392827;0,5147844674029213
9205;Lonquimay;0,15550347065717118;0,3919588929955828
9206;Los Sauces;0,19276947705442904;0,2278548559231590
9207;Lumaco;0,20389519124585884;0,3315932135327778
9208;Purén;0,10636019113527764;0,3507991431866864
9209;Renaico;0,00713175459449575;0,1588186888543476
9210;Traiguén;0,15914747977598009;0,2093963907902925
9211;Victoria;0,19966778343984909;0,2027084095836031
